English,German
hate,hassen
hatred,Hass
have,haben
have back,zurückhaben
have on,auf
have to,"müssen, zu ... haben"
he,er
head,Kopf
headache,Kopfschmerzen
heal,heilen
health,die Gesundheit
healthy,gesund
hear,hören
hear from,hören von
hearing,Hören
hear of,hören von
heart,Herz
heat,Wärme
heating,Heizung
heat up,Aufheizen
heaven,Himmel
heavily,schwer
heavy,schwer
heel,Hacke
height,Höhe
hell,Hölle
hello,hallo
help,Hilfe
helpful,hilfreich
help out,aushelfen
hence,somit
her,Sie
here,hier
hero,Held
hers,ihres
herself,Sie selber
hesitate,zögern
hi,hallo
hide,ausblenden
high,hoch
highlight,Markieren
highly,höchst
highway,Autobahn
hill,hügel
him,ihn
himself,selbst
hip,Hüfte
hire,mieten
hire out,vermieten
his,seine
historical,historisch
history,Geschichte
hit,Schlag
hobby,Hobby
hold,halt
hold back,halte zurück
hold on,festhalten
hold on to,festhalten
hold out,aushalten
hold up,halten
hole,Loch
holiday,Ferien
hollow,hohl
holy,heilig
home,Heimat
homework,Hausaufgaben
honest,ehrlich
honestly,Ehrlich
honour,ehren
hook,Haken
hope,Hoffnung
horizontal,horizontal
horn,Horn
horror,Grusel
horse,Pferd
hospital,Krankenhaus
host,Gastgeber
hot,heiß
hotel,Hotel
hour,Stunde
house,Haus
household,Haushalt
housing,Gehäuse
how,wie
however,jedoch
huge,riesig
human,Mensch
humorous,humorvoll
humour,Humor
hundred,hundert
hundredth,Hundertstel
hungry,hungrig
hunt,Jagd
hunting,Jagd
hurry,sich beeilen
hurry up,Beeil dich
hurt,Schmerz
husband,Ehemann
I,ich
ice,Eis
ice cream,Eis
idea,Idee
ideal,Ideal
identify,identifizieren
identify with,identifizieren mit
identity,Identität
i.e.,d.h.
if,wenn
ignore,ignorieren
ill,krank
illegal,illegal
illegally,illegal
illness,Krankheit
illustrate,veranschaulichen
image,Bild
imaginary,imaginär
imagination,Vorstellung
imagine,vorstellen
immediate,sofort
immediately,sofort
immoral,unmoralisch
impact,Einschlag
impatient,ungeduldig
implication,Implikation
imply,implizieren
import,importieren
importance,Bedeutung
important,wichtig
importantly,Wichtig
impose,auferlegen
impossible,unmöglich
impress,beeindrucken
impressed,beeindruckt
impression,Eindruck
impressive,beeindruckend
improve,verbessern
improvement,Verbesserung
in,in
inability,Unfähigkeit
inch,Zoll
incident,Vorfall
include,enthalten
including,einschließlich
income,Einkommen
increase,Zunahme
increasingly,zunehmend
indeed,in der Tat
independence,Unabhängigkeit
independent,unabhängig
independently,unabhängig
index,Index
indicate,angeben
indication,Indikation
indirect,indirekt
indirectly,indirekt
individual,Individuell
indoor,Innenräume
indoors,drinnen
industrial,industriell
industry,Industrie
inevitable,unvermeidlich
inevitably,zwangsläufig
infect,infizieren
infected,infiziert
infection,Infektion
infectious,ansteckend
influence,beeinflussen
inform,informieren
informal,informell
information,Information
ingredient,Zutat
initial,Initial
initially,anfänglich
initiative,Initiative
injure,verletzen
injured,verletzt
injury,Verletzung
ink,Tinte
inner,innere
innocent,unschuldig
insect,Insekt
insert,Einfügung
inside,Innerhalb
insist,pochen
insist on,auf etwas bestehen
insist on doing,bestehen darauf
install,Installieren
instance,Beispiel
instead,stattdessen
instead of,Anstatt von
institute,Institut
institution,Institution
instruction,Anweisung
instrument,Instrument
insult,Beleidigung
insulting,beleidigend
insurance,Versicherung
intelligence,Intelligenz
intelligent,intelligent
intend,beabsichtigen
intended,beabsichtigt
intention,Absicht
interest,Interesse
interested,interessiert
interesting,interessant
interior,Innere
internal,intern
international,International
Internet,Internet
interpret,interpretieren
interpretation,Deutung
interrupt,unterbrechen
interruption,Unterbrechung
interval,Intervall
interview,Interview
into,hinein
introduce,einführen
introduction,Einleitung
invent,erfinden
invention,Erfindung
invest,investieren
investigate,untersuchen
investigation,Ermittlung
investment,Investition
invitation,Einladung
invite,einladen
involve,einbeziehen
involved,beteiligt
involvement,Beteiligung
iron,Eisen
irritate,reizen
irritated,irritiert
irritating,irritierend
island,Insel
issue,Ausgabe
it,es
item,Artikel
its,es ist
itself,selbst
jacket,Jacke
jam,Marmelade
January,Januar
jealous,neidisch
jeans,Jeans
jelly,Gelee
jewellery,Schmuck
job,Arbeit
join,beitreten
join in,dazu kommen
joint,gemeinsam
jointly,gemeinsam
joke,scherzen
journalist,Journalist
journey,Reise
joy,Freude
judge,Richter
judgement,Beurteilung
juice,Saft
July,Juli
jump,springen
June,Juni
junior,Junior
just,nur
justice,Gerechtigkeit
justified,gerechtfertigt
justify,rechtfertigen
keen,daran interessiert
keep,behalten
keep out,kein Zutritt
keep out of,Weg bleiben von
keep up,weitermachen
keep up with,mithalten mit
key,Schlüssel
keyboard,Klaviatur
kick,trete
kid,Kind
kill,töten
killing,Tötung
kilogram,Kilogramm
kilometre,Kilometer
kind,nett
kindly,freundlich
kindness,Freundlichkeit
king,König
kiss,Kuss
kitchen,Küche
knee,Knie
knife,Messer
knit,stricken
knitted,gestrickt
knitting,Stricken
knock,klopfen
knock down,niederschlagen
knock out,schlagen
knot,Knoten
know,kennt
knowledge,Wissen
lab,Labor
label,Etikett
laboratory,Labor
labour,Arbeit
lack,Mangel
lacking,fehlen
lady,Dame
lake,See
lamp,Lampe
land,Land
landscape,Landschaft
lane,Fahrbahn
language,Sprache
large,groß
largely,weitgehend
last,Letzte
late,spät
later,später
latest,neueste
latter,letztere
laugh,Lachen
laugh at,Lachen über
launch,Start
law,Gesetz
lawyer,Anwalt
lay,legen
layer,Schicht
lazy,faul
lead,führen
leader,Führer
leading,führend
leaf,Blatt
league,Liga
lean,mager
learn,lernen
least,am wenigsten
leather,Leder
leave,verlassen
leave out,auslassen
lecture,Vorlesung
left,links
leg,Bein
legal,legal
legally,rechtlich
lemon,Zitrone
lend,verleihen
length,Länge
less,weniger
lesson,Lektion
let,Lassen
let down,im Stich lassen
let off,lass weg
letter,Buchstabe
level,eben
library,Bibliothek
licence,Lizenz
license,Lizenz
lid,Deckel
lie,Lüge
lie around,herum liegen
lie down,hinlegen
life,Leben
lift,Aufzug
light,hell
lightly,leicht
like,wie
likely,wahrscheinlich
limit,Grenze
limited,begrenzt
limit to,beschränken auf
line,Linie
link,Verknüpfung
lip,Lippe
liquid,Flüssigkeit
list,aufführen
listen,Hören
literature,Literatur
litre,Liter
little,wenig
live,live
lively,lebhaft
live on,weiter leben
live through,durchleben
live together,Zusammenleben
living,Leben
load,Belastung
loan,Darlehen
local,lokal
locally,örtlich
locate,Lokalisieren
located,gelegen
location,Lage
lock,sperren
lock up,sperren
logic,Logik
logical,logisch
lonely,einsam
long,lang
look,sehen
look after,sich kümmern um
look at,ansehen
look down on,herabsehen auf
look forward to,gespannt sein auf
look into,Einblick in
look on,Schau zu
look on with,schau dir zu
look out,Achtung
look out for,Achten Sie auf
look round,umsehen
look through,durch schauen
look up,Sieh nach oben
look up to,Aufsehen zu
loose,lose
loosely,lose
lord,Herr
lorry,LKW
lose,verlieren
loss,Verlust
lost,verirrt
lot,viel
loud,laut
loudly,laut
love,Liebe
lovely,schön
lover,Liebhaber
low,niedrig
loyal,treu
luck,Glück
lucky,Glücklich
luggage,Gepäck
lump,Klumpen
lunch,Mittagessen
lung,Lunge
machine,Maschine
machinery,Maschinen
mad,wütend
magazine,Zeitschrift
magic,Magie
mail,Post
main,hauptsächlich
mainly,hauptsächlich
maintain,pflegen
major,Haupt
majority,mehrheitlich
make,machen
make into,in
make up,bilden
make-up,bilden
make up for,wieder gut machen
male,männlich
mall,Einkaufszentrum
man,Mann
manage,verwalten
management,Management
manager,Manager
manner,Benehmen
manufacture,Herstellung
manufacturer,Hersteller
manufacturing,Herstellung
many,viele
map,Karte
march,März
March,Marsch
mark,Kennzeichen
market,Markt
marketing,Marketing
marriage,die Ehe
married,verheiratet
marry,heiraten
mass,Masse
massive,fest
master,Meister
match,passen
matching,Matching
match up,zusammenpassen
mate,Kamerad
material,Material
mathematics,Mathematik
matter,Angelegenheit
maximum,maximal
may,kann
May,Kann
maybe,kann sein
mayor,Bürgermeister
me,mich
meal,Mahlzeit
mean,bedeuten
meaning,Bedeutung
means,meint
meanwhile,inzwischen
measure,messen
measurement,Messung
meat,Fleisch
media,Medien
medical,medizinisch
medicine,Medizin
medium,Mittel
meet,Treffen
meeting,treffen
meet up,sich treffen
meet with,treffen mit
melt,schmelzen
member,Mitglied
membership,Mitgliedschaft
memory,Erinnerung
mental,mental
mentally,geistig
mention,nennen
menu,Speisekarte
mere,bloß
merely,nur
mess,Chaos
message,Botschaft
metal,Metall
method,Methode
metre,Meter
mid-,Mitte
midday,Mittag
middle,Mitte
midnight,Mitternacht
might,könnte
mild,leicht
mile,Meile
military,Militär-
milk,Milch
milligram,Milligramm
millimetre,Millimeter
million,Million
millionth,millionste
mind,Geist
mine,Mine
mineral,Mineral
minimum,Minimum
minister,Minister
ministry,Ministerium
minor,unerheblich
minority,Minderheit
minute,Minute
mirror,Spiegel
miss,fehlschlagen
missing,fehlen
miss out,verpassen
mistake,Fehler
mistake for,Fehler für
mistaken,falsch
mix,mischen
mixed,gemischt
mixture,Mischung
mix up,verwechseln
mobile,"Handy, Mobiltelefon"
mobile phone,Handy
model,Modell
modern,modern
mom,Mama
moment,Moment
Monday,Montag
money,Geld
monitor,Monitor
month,Monat
mood,Stimmung
moon,Mond
moral,Moral-
morally,moralisch
more,mehr
moreover,Außerdem
morning,Morgen
most,die meisten
mostly,meist
mother,Mutter
motion,Bewegung
motor,Motor-
motorbike,Motorrad
motorcycle,Motorrad
mount,montieren
mountain,Berg
mouse,Maus
mouth,Mund
move,Bewegung
move in,einziehen
movement,Bewegung
move out,ausziehen
move over,bewegen
movie,Film
movie theater,Kino
moving,ziehen um
Mr,Herr
Mrs,Frau
Ms,MS
much,viel
mud,Dreck
multiply,multiplizieren
mum,Mama
murder,Mord
muscle,Muskel
museum,Museum
music,Musik
musical,Musical
musician,Musiker
must,muss
my,mein
myself,mich selbst
mysterious,mysteriös
mystery,Geheimnis
nail,Nagel
naked,nackt
name,Name
narrow,eng
nation,Nation
national,National
natural,natürlich
naturally,natürlich
nature,Natur
navy,Marine
near,nahe
nearby,in der Nähe
nearly,fast
neat,sauber
neatly,ordentlich
necessarily,Notwendig
necessary,notwendig
neck,Nacken
need,brauchen
needle,Nadel
negative,Negativ
neighbour,Nachbar
neighbourhood,Nachbarschaft
neither,weder
nephew,Neffe
nerve,Nerv
nervous,nervös
nervously,nervös
nest,Nest
net,Netz
network,Netzwerk
never,noch nie
nevertheless,Dennoch
new,Neu
newly,neu
news,Nachrichten
newspaper,Zeitung
next,nächste
next to,neben
nice,Hübsch
nicely,schön
niece,Nichte
night,Nacht
nine,neun
nineteen,neunzehn
nineteenth,Neunzehnten
ninetieth,Neunzigste
ninety,neunzig
ninth,neunte
no,nein
nobody,niemand
noise,Lärm
noisily,geräuschvoll
noisy,laut
non-,nicht-
none,keiner
nonsense,Unsinn
no one,niemand
nor,Noch
normal,normal
normally,normalerweise
north,Norden
northern,Nord
nose,Nase
not,nicht
note,Hinweis
note down,notieren
nothing,nichts
notice,Notiz
noticeable,bemerkbar
novel,Roman
November,November
now,jetzt
nowhere,nirgends
nuclear,Nuklear
number,Nummer
nurse,Krankenschwester
nut,Mutter
obey,Folge leisten
object,Objekt
objective,Zielsetzung
observation,Überwachung
observe,beobachten
obtain,erhalten
obvious,offensichtlich
obviously,offensichtlich
occasion,Gelegenheit
occasionally,gelegentlich
occupied,besetzt
occupy,besetzen
occur,geschehen
occur to,vorkommen
ocean,Ozean
o’clock,Uhr
October,Oktober
odd,seltsam
oddly,Seltsamerweise
of,von
off,aus
offence,Delikt
offend,beleidigen
offense,Delikt
offensive,beleidigend
offer,Angebot
office,Büro
officer,Offizier
official,offiziell
officially,offiziell
often,häufig
oh,oh
oil,Öl
OK,OK
old,alt
old-fashioned,altmodisch
on,an
once,einmal
one,eines
one another,einander
onion,Zwiebel
online,online
only,nur
onto,auf zu
open,offen
opening,Öffnung
openly,offen
open up,aufmachen
operate,arbeiten
operation,Betrieb
opinion,Meinung
opponent,Gegner
opportunity,Gelegenheit
oppose,ablehnen
opposed,entgegengesetzt
opposing,gegensätzlich
opposite,Gegenteil
opposition,Opposition
option,Möglichkeit
or,oder
orange,Orange
order,bestellen
ordinary,gewöhnliche
organ,Organ
organization,Organisation
organize,organisieren
organized,organisiert
origin,Ursprung
original,Original
originally,ursprünglich
other,Sonstiges
otherwise,Andernfalls
ought to,sollte
our,unser
ours,unsere
ourselves,uns selbst
out,aus
outdoor,draussen
outdoors,draußen
outer,äußere
outline,Gliederung
output,Ausgang
outside,außen
outstanding,hervorragend
oven,Ofen
over,Über
overall,gesamt
overcome,überwinden
owe,verdanken
own,besitzen
owner,Eigentümer
own up,besitzen
pace,Tempo
pack,Pack
package,Paket
packaging,Verpackung
packet,Paket
pack up,zusammenpacken
page,Seite
pain,Schmerzen
painful,schmerzlich
paint,Farbe
painter,Maler
painting,Malerei
pair,Paar
palace,Palast
pale,blass
pan,Pfanne
panel,Panel
pants,Hose
paper,Papier
parallel,parallel
parent,Elternteil
park,Park
parliament,Parlament
part,Teil
particular,besondere
particularly,im Speziellen
partly,teilweise
partner,Partner
partnership,Partnerschaft
party,Party
pass,passieren
passage,Passage
pass away,versterben
pass by,Vorbeigehen
passenger,Passagier
passing,Vorbeigehen
pass on,weitergeben
pass out,ohnmächtig werden
passport,Reisepass
pass round,Passen Sie herum
pass through,durchlaufen
past,vorbei an
path,Weg
patience,Geduld
patient,Geduldig
pattern,Muster
pause,Pause
pay,Zahlen
pay back,Rückzahlung
payment,Zahlung
pay out,auszahlen
pay up,Bezahle
peace,Frieden
peaceful,friedlich
peak,Gipfel
pen,Stift
pencil,Bleistift
penny,Penny
pension,die Pension
people,Personen
pepper,Pfeffer
per,pro
per cent,Prozent
perfect,perfekt
perfectly,perfekt
perform,ausführen
performance,Leistung
performer,Künstler
perhaps,vielleicht
period,Zeitraum
permanent,dauerhaft
permanently,permanent
permission,Genehmigung
permit,erlauben
person,Person
personal,persönlich
personality,Persönlichkeit
personally,persönlich
persuade,überreden
pet,Haustier
petrol,Benzin
phase,Phase
philosophy,Philosophie
phone,Telefon
photo,Foto
photocopy,Fotokopie
photograph,Foto
photographer,Fotograf
photography,Fotografie
phrase,Phrase
physical,physisch
physically,physisch
physics,Physik
piano,Klavier
pick,wählen
pick up,aufsammeln
picture,Bild
piece,Stück
pig,Schwein
pile,Haufen
pile up,aufstapeln
pill,Pille
pilot,Pilot
pin,Stift
pink,rosa
pint,Pint
pipe,Rohr
pitch,Tonhöhe
pity,Mitleid
place,Platz
plain,schmucklos
plan,planen
plane,Flugzeug
planet,Planet
planning,Planung
plant,Pflanze
plastic,Plastik
plate,Teller
platform,Plattform
play,abspielen
play about,spielen
player,Spieler
play with,Spiel mit
pleasant,angenehm
pleasantly,angenehm
please,bitte
pleased,zufrieden
pleasing,erfreulich
pleasure,Vergnügen
plenty,eine Menge
plot,Handlung
plug,Stecker
plug in,Stecker
plus,Plus
p.m.,p.m.
pocket,Tasche
poem,Gedicht
poetry,Poesie
point,Punkt
pointed,spitz
point out,hinweisen
poison,Gift
poisonous,giftig
pole,Pole
police,Polizei
policy,Politik
polish,Polieren
polite,höflich
politely,höflich
political,politisch
politically,politisch
politician,Politiker
politics,Politik
pollution,Umweltverschmutzung
pool,Schwimmbad
poor,Arm
pop,Pop
popular,Beliebt
population,Population
port,Hafen
pose,Pose
position,Position
positive,positiv
possess,besitzen
possession,Besitz
possibility,Wahrscheinlichkeit
possible,möglich
possibly,möglicherweise
post,Post
post office,Post
pot,Topf
potato,Kartoffel
potential,Potenzial
potentially,möglicherweise
pound,Pfund
pour,gießen
powder,Pulver
power,Energie
powerful,kraftvoll
practical,praktisch
practically,praktisch
practice,trainieren
practise,trainieren
praise,loben
pray,beten
prayer,Gebet
precise,präzise
precisely,genau
predict,vorhersagen
prefer,vorziehen
preference,Präferenz
pregnant,schwanger
premises,Firmengelände
preparation,Vorbereitung
prepare,vorbereiten
prepared,bereit
presence,Gegenwart
present,gegenwärtig
presentation,Präsentation
preserve,bewahren
president,Präsident
press,Drücken Sie
pressure,Druck
presumably,vermutlich
pretend,so tun als ob
pretty,hübsch
prevent,verhindern
previous,früher
previously,bisher
price,Preis
pride,Stolz
priest,Priester
primarily,in erster Linie
primary,primär
prime minister,Premierminister
prince,Prinz
princess,Prinzessin
principle,Prinzip
print,drucken
printer,Drucker
printing,Drucken
print off,ausdrucken
prior,frühere
priority,Priorität
prison,Gefängnis
prisoner,Häftling
private,Privatgelände
privately,privat
prize,Preis-
probable,wahrscheinlich
probably,wahrscheinlich
problem,Problem
procedure,Verfahren
proceed,verlaufen
process,Prozess
produce,produzieren
producer,Hersteller
product,Produkt
production,Produktion
profession,Beruf
professional,Fachmann
professor,Professor
profit,profitieren
program,Programm
programme,Programm
progress,Fortschritt
project,Projekt
promise,versprechen
promote,fördern
promotion,Förderung
prompt,prompt
promptly,sofort
pronounce,aussprechen
pronunciation,Aussprache
proof,nachweisen
proper,richtig
properly,richtig
property,Eigentum
proportion,Anteil
proposal,Vorschlag
propose,vorschlagen
prospect,Aussicht
protect,beschützen
protection,Schutz
protest,Protest
proud,stolz
proudly,stolz
prove,beweisen
provide,zur Verfügung stellen
provided,bereitgestellt
providing,Bereitstellung
pub,Pub
public,Öffentlichkeit
publication,Veröffentlichung
publicity,Werbung
publicly,öffentlich
publish,veröffentlichen
publishing,Veröffentlichung
pull,ziehen
pull apart,auseinander ziehen
pull down,runterziehen
pull in,anziehen
pull off,abziehen
pull out,Herausziehen
pull over,zur Seite fahren
pull through,durchziehen
pull together,Reiß dich zusammen
pull up,hochziehen
punch,schlagen
punish,bestrafen
punishment,Bestrafung
pupil,Schüler
purchase,kaufen
pure,rein
purely,rein
purple,Violett
purpose,Zweck
pursue,verfolgen
push,drücken
push about,drängen
push forward,vorstoßen
put,stellen
put away,weglegen
put back,zurück geben
put down,hinlegen
put forward,vorbringen
put in,einstellen
put off,aufschieben
put on,anziehen
put out,herausgeben
put through,durchsetzen
put together,zusammensetzen
put up,aufstellen
put up with,aushalten
qualification,Qualifikation
qualified,qualifiziert
qualify,qualifizieren
quality,Qualität
quantity,Anzahl
quarter,Quartal
queen,Königin
question,Frage
quick,schnell
quickly,schnell
quiet,ruhig
quietly,ruhig
quit,Verlassen
quite,ziemlich
quote,zitieren
race,Rennen
racing,Rennen
radio,Radio
rail,Schiene
railroad,Eisenbahn
railway,Eisenbahn
rain,Regen
raise,heben
range,Angebot
rank,Rang
rapid,schnell
rapidly,schnell
rare,Selten
rarely,selten
rate,Bewertung
rather,eher
raw,roh
re-,betreffend-
reach,erreichen
react,reagieren
reaction,Reaktion
read,lesen
reader,Leser
reading,lesen
read out,vorlesen
read over,drüber lesen
ready,bereit
real,real
realistic,realistisch
reality,Wirklichkeit
realize,realisieren
really,Ja wirklich
rear,Rückseite
reason,Grund
reasonable,angemessen
reasonably,vernünftig
recall,abrufen
receipt,Kassenbon
receive,erhalten
recent,jüngste
recently,in letzter Zeit
reception,Rezeption
reckon,rechnen
reckon on,rechnen
recognition,Erkennung
recognize,erkenne
recommend,empfehlen
record,Aufzeichnung
recording,Aufzeichnung
recover,genesen
red,rot
reduce,reduzieren
reduction,die Ermäßigung
refer,verweisen
reference,Hinweis
refer to,beziehen auf
reflect,reflektieren
reform,Reform
refrigerator,Kühlschrank
refusal,Ablehnung
refuse,sich weigern
regard,betrachten
regarding,bezüglich
region,Region
regional,regional
register,registrieren
regret,Reue
regular,regulär
regularly,regelmäßig
regulation,Verordnung
reject,ablehnen
relate,betreffen
related,verbunden
relate to,in Beziehung zu
relation,Beziehung
relationship,Beziehung
relative,relativ
relatively,verhältnismäßig
relax,Entspannen Sie sich
relaxed,entspannt
relaxing,Entspannung
release,Veröffentlichung
relevant,relevant
relief,Hilfe
religion,Religion
religious,religiös
rely,vertrauen
rely on,sich verlassen auf
remain,bleiben übrig
remaining,verblieben
remains,Überreste
remark,Anmerkung
remarkable,bemerkenswert
remarkably,bemerkenswert
remember,denken Sie daran
remind,erinnern
remind of,erinnern an
remote,Fernbedienung
removal,Entfernung
remove,Löschen
rent,Miete
rented,gemietet
repair,Reparatur
repeat,wiederholen
repeated,wiederholt
repeatedly,wiederholt
replace,ersetzen
reply,Antwort
report,Bericht
represent,vertreten
representative,Vertreter
reproduce,reproduzieren
reputation,Ruf
request,Anfrage
require,benötigen
requirement,Erfordernis
rescue,Rettung
research,Forschung
reservation,Reservierung
reserve,Reservieren
resident,Bewohner
resist,widerstehen
resistance,Widerstand
resolve,beschließen
resort,Resort
resort to,zurückgreifen auf
resource,Ressource
respect,Respekt
respond,antworten
response,Antwort
responsibility,Verantwortung
responsible,verantwortlich
rest,sich ausruhen
restaurant,Restaurant
restore,wiederherstellen
restrict,beschränken
restricted,eingeschränkt
restriction,Beschränkung
result,Ergebnis
result in,führen in
retain,zuückbehalten
retire,ausscheiden
retired,im Ruhestand
retirement,Ruhestand
return,Rückkehr
reveal,aufdecken
reverse,umkehren
review,Rezension
revise,überarbeiten
revision,Revision
revolution,Revolution
reward,belohnen
rhythm,Rhythmus
rice,Reis
rich,Reich
rid,loswerden
ride,Reiten
rider,Fahrer
ridiculous,lächerlich
riding,Reiten
right,Rechts
rightly,richtig
ring,Ring
ring back,zurückrufen
rise,Aufstieg
risk,Risiko
rival,Rivale
river,Fluss
road,Straße
rob,rauben
rock,Felsen
role,Rolle
roll,rollen
romantic,romantisch
roof,Dach
room,Zimmer
root,Wurzel
rope,Seil
rough,Rau
roughly,grob
round,runden
rounded,gerundet
route,Route
routine,Routine
row,die Zeile
royal,königlich
rub,reiben
rubber,Gummi
rubbish,Müll
rude,unhöflich
rudely,grob
ruin,zugrunde richten
ruined,ruiniert
rule,Regel
rule out,ausschließen
ruler,Lineal
rumour,Gerücht
run,Lauf
run after,rennen danach
run away,weglaufen
runner,Läufer
running,laufend
run out,leerlaufen
run over,überlaufen
run through,durchlaufen
rural,ländlich
rush,sich beeilen
sack,Sack
sad,traurig
sadly,leider
sadness,Traurigkeit
safe,sicher
safely,sicher
safety,Sicherheit
sail,Segel
sailing,Segeln
sailor,Seemann
salad,Salat
salary,Gehalt
sale,Verkauf
salt,Salz
salty,salzig
same,gleich
sample,Probe
sand,Sand
satisfaction,Befriedigung
satisfied,befriedigt
satisfy,erfüllen
satisfying,befriedigend
Saturday,Samstag
sauce,Soße
save,sparen
saving,sparen
say,sagen
scale,Skala
scare,Schrecken
scared,erschrocken
scare off,abschrecken
scene,Szene
schedule,zeitlicher Ablauf
scheme,planen
school,Schule
science,Wissenschaft
scientific,wissenschaftlich
scientist,Wissenschaftler
scissors,Schere
score,Punktzahl
scratch,kratzen
scream,Schrei
screen,Bildschirm
screw,schrauben
sea,Meer
seal,Siegel
seal off,versiegeln
search,Suche
season,Jahreszeit
seat,Sitz
second,zweite
secondary,sekundär
secret,Geheimnis
secretary,Sekretär
secretly,heimlich
section,Sektion
sector,Sektor
secure,sicher
security,Sicherheit
see,sehen
see about,sehen
seed,Samen
seek,suchen
seem,erscheinen
see to,Sehen Sie
select,auswählen
selection,Auswahl
self,selbst
self-,selbst-
sell,verkaufen
sell off,Ausverkauf
sell out,ausverkaufen
senate,Senat
senator,Senator
send,senden
send for,Senden Sie
send off,abschicken
senior,Senior
sense,Sinn
sensible,vernünftig
sensitive,empfindlich
sentence,Satz
separate,getrennt
separated,getrennt
separately,separat
separation,Trennung
September,September
series,Serie
serious,ernst
seriously,Ernsthaft
servant,Knecht
serve,Dienen
service,Service
session,Sitzung
set,einstellen
set off,losfahren
set out,auf den Weg machen
settle,siedeln
settle down,niederlassen
set up,Konfiguration
seven,Sieben
seventeen,siebzehn
seventh,siebte
seventieth,siebzigste
seventy,siebzig
several,mehrere
severe,schwer
severely,stark
sew,nähen
sewing,Nähen
sex,Sex
sexual,sexuell
sexually,sexuell
shade,Schatten
shadow,Schatten
shake,Shake
shall,soll
shallow,seicht
shame,Schande
shape,Form
shaped,geformt
share,Teilen
sharp,Scharf
sharply,scharf
shave,rasieren
she,sie
sheep,Schaf
sheet,Blech
shelf,Regal
shell,Hülse
shelter,Schutz
shift,Wechsel
shine,scheinen
shiny,glänzend
ship,Schiff
shirt,Shirt
shock,Schock
shocked,schockiert
shocking,schockierend
shoe,Schuh
shoot,schießen
shoot down,abschießen
shooting,Schießen
shop,Geschäft
shopping,Einkaufen
short,kurz
shortly,in Kürze
shot,Schuss
should,sollte
shoulder,Schulter
shout,schreien
show,Show
shower,Dusche
show off,angeben
show round,umher zeigen
show up,erscheinen
shut,schließen
shut down,stilllegen
shut in,Schließe ein
shut out,ausschalten
shut up,den Mund halten
shy,schüchtern
sick,krank
side,Seite
sideways,seitwärts
sight,Sicht
sign,Schild
signal,Signal
signature,Unterschrift
significant,von Bedeutung
significantly,bedeutend
silence,Schweigen
silent,Leise
silk,Seide
silly,dumm
silver,Silber-
similar,ähnlich
similarly,ähnlich
simple,einfach
simply,einfach
since,seit
sincere,aufrichtig
sincerely,Mit freundlichen Grüßen
sing,singen
singer,Sänger
singing,Singen
single,Single
sink,Waschbecken
sir,Herr
sister,Schwester
sit,mach Sitz
sit down,Hinsetzen
site,Seite? ˅
situation,Lage
six,sechs
sixteen,sechzehn
sixth,sechste
sixtieth,Sechzigste
sixty,sechzig
size,Größe
skilful,geschickt
skilfully,geschickt
skill,Können
skilled,qualifiziert
skin,Haut
skirt,Rock
sky,Himmel
sleep,schlafen
sleeve,Ärmel
slice,Scheibe
slide,gleiten
slight,leicht
slightly,leicht
slip,Unterhose
slope,Neigung
slow,langsam
slowly,langsam
small,klein
smart,Clever
smash,zerschlagen
smell,Geruch
smile,lächeln
smoke,Rauch
smoking,Rauchen
smooth,glatt
smoothly,glatt
snake,Schlange
snow,Schnee
so,Also
soap,Seife
social,Sozial
socially,sozial
society,Gesellschaft
sock,Socke
soft,Sanft
softly,leise
software,Software
soil,Boden
soldier,Soldat
solid,fest
solution,Lösung
solve,lösen
some,etwas
somebody,jemand
somehow,irgendwie
someone,jemand
something,etwas
sometimes,manchmal
somewhat,etwas
somewhere,irgendwo
son,Sohn
song,Lied
soon,demnächst
sore,wund
sorry,Verzeihung
sort,Sortieren
sort out,aussortieren
soul,Seele
sound,Klang
soup,Suppe
sour,sauer
source,Quelle
south,Süden
southern,Süd-
space,Platz
spare,Ersatzteil
speak,sprechen
speaker,Lautsprecher
speak out,aussprechen
speak up,sprechen
special,Besondere
specialist,Spezialist
specially,speziell
specific,Spezifisch
specifically,speziell
speech,Rede
speed,Geschwindigkeit
speed up,beschleunigen
spell,Fluch
spelling,Rechtschreibung
spend,verbringen
spice,würzen
spicy,würzig
spider,Spinne
spin,drehen
spirit,Geist
spiritual,spirituell
spite,Trotz
split,Teilt
split up,aufteilen
spoil,verderben
spoken,gesprochen
spoon,Löffel
sport,Sport
spot,Stelle
spray,sprühen
spread,Verbreitung
spread out,verteilen
spring,Frühling
square,Quadrat
squeeze,drücken
stable,stabil
staff,Mitarbeiter
stage,Bühne
stamp,Stempel
stand,Stand
standard,Standard
stand back,treten Sie zurück
stand by,bereithalten
stand for,stehen für
stand out,auffallen
stand up,aufstehen
stand up for,sich für etwas einsetzen
star,Stern
stare,starren
start,Anfang
start off,anfangen
start out,beginnen
start up,Anlaufen
state,Zustand
statement,Aussage
station,Bahnhof
statue,Statue
status,Status
stay,bleibe
stay away,Bleib weg
stay out of,sich aus etwas heraushalten
steadily,ständig
steady,stetig
steal,stehlen
steam,Dampf
steel,Stahl
steep,steil
steeply,steil
steer,steuern
step,Schritt
stick,Stock
stick out,abstehen
stick to,bleiben bei
stick up,aufhalten
sticky,klebrig
stiff,steif
stiffly,steif
still,still
sting,Stachel
stir,Aufsehen
stock,Lager
